threads,run,time,N
1,1,0.080944,66
1,2,0.077923,66
1,3,0.079579,66
1,4,0.077820,66
1,5,0.079575,66
2,1,0.040302,66
2,2,0.042756,66
2,3,0.042207,66
2,4,0.039491,66
2,5,0.042297,66
4,1,0.029273,66
4,2,0.030499,66
4,3,0.026448,66
4,4,0.026083,66
4,5,0.028656,66
8,1,0.026993,66
8,2,0.026872,66
8,3,0.024144,66
8,4,0.025257,66
8,5,0.026589,66
16,1,0.084095,66
16,2,0.079959,66
16,3,0.080275,66
16,4,0.042662,66
16,5,0.077807,66
1,1,1.022313,132
1,2,1.020282,132
1,3,1.014983,132
1,4,1.024655,132
1,5,1.003624,132
2,1,0.483470,132
2,2,0.453810,132
2,3,0.457076,132
2,4,0.478913,132
2,5,0.463629,132
4,1,0.257744,132
4,2,0.254338,132
4,3,0.245554,132
4,4,0.236507,132
4,5,0.250031,132
8,1,0.221378,132
8,2,0.216292,132
8,3,0.216124,132
8,4,0.200606,132
8,5,0.215629,132
16,1,0.292876,132
16,2,0.295253,132
16,3,0.211247,132
16,4,0.217898,132
16,5,0.263537,132
1,1,9.880071,264
1,2,10.002316,264
1,3,10.055074,264
1,4,10.020528,264
1,5,9.948188,264
2,1,5.919884,264
2,2,5.721298,264
2,3,5.788596,264
2,4,5.803378,264
2,5,5.665286,264
4,1,3.515255,264
4,2,3.610713,264
4,3,3.735254,264
4,4,3.684908,264
4,5,3.676256,264
8,1,2.859481,264
8,2,2.807299,264
8,3,2.860259,264
8,4,2.826874,264
8,5,2.889549,264
16,1,2.887228,264
16,2,2.845653,264
16,3,2.878747,264
16,4,2.862161,264
16,5,2.913089,264
1,1,112.537155,528
1,2,113.616208,528
1,3,112.961672,528
1,4,114.247798,528
1,5,112.153718,528
2,1,67.213626,528
2,2,67.400871,528
2,3,66.586336,528
2,4,66.683353,528
2,5,65.102589,528
4,1,47.732702,528
4,2,47.337907,528
4,3,47.438632,528
4,4,46.661637,528
4,5,47.289407,528
8,1,37.490932,528
8,2,37.592443,528
8,3,37.579793,528
8,4,37.415919,528
8,5,37.402741,528
16,1,36.507219,528
16,2,36.618777,528
16,3,36.406612,528
16,4,36.697978,528
16,5,36.642841,528
