threads,run,time,N
1,1,0.372401,66
1,2,0.374898,66
1,3,0.371704,66
1,4,0.371014,66
1,5,0.373687,66
2,1,0.197562,66
2,2,0.197433,66
2,3,0.198410,66
2,4,0.187567,66
2,5,0.197224,66
4,1,0.104510,66
4,2,0.105061,66
4,3,0.104538,66
4,4,0.103465,66
4,5,0.104627,66
8,1,0.101818,66
8,2,0.102008,66
8,3,0.102344,66
8,4,0.101494,66
8,5,0.102653,66
16,1,0.151039,66
16,2,0.149206,66
16,3,0.105176,66
16,4,0.111343,66
16,5,0.107984,66
1,1,3.382395,130
1,2,3.561974,130
1,3,3.471848,130
1,4,3.343787,130
1,5,3.353831,130
2,1,1.735888,130
2,2,1.729337,130
2,3,1.723916,130
2,4,1.720236,130
2,5,1.721005,130
4,1,0.897464,130
4,2,0.895416,130
4,3,0.865963,130
4,4,0.863259,130
4,5,0.870668,130
8,1,0.442759,130
8,2,0.442943,130
8,3,0.444825,130
8,4,0.449681,130
8,5,0.446582,130
16,1,0.263400,130
16,2,0.262394,130
16,3,0.251107,130
16,4,0.265785,130
16,5,0.249900,130
